prompt,carb,carb_bin
"At breakfast, I'll have 246 grams of that apple dessert",75.47,high
"At breakfast, I'm having 1106g of light-colored boiled sweet potatoes",279.8,high
"For a snack, I have 147 grams of soft gluten-free pretzels",84.19,high
"For a snack, I'm drinking a large vanilla-flavored cola",77.08,high
"For brunch, I'm having a regular can of flavored potato chips",101.84,high
"For dinner, I'm having 456.66 grams of spaghetti with sauce",82.68,high
"For dinner, I'm having a 200g apple and a 480g nectarine",78.2,high
"For lunch, I mixed 330g of apple nectar with a 243.8g banana",96.68,high
"For my morning meal, I've got 648 grams of fried ripe plantains",197.5,high
I have 120 grams of salted soft pretzels lined up for dinner,84.07,high
I have 454 grams of cassava roots that I boiled for lunch,169.8,high
I have 885 grams of sweet potato pie as my snack,256.92,high
I just grabbed a large chocolate milkshake for a quick snack,140.48,high
I'm eating 357g of brown rice that was boiled for lunch,105.3,high
I'm eating a 424 gram meat and cheese calzone for lunch,131.14,high
I'm enjoying 138g of fruit and 154g of pittu for my dinner,114.78,high
I'm enjoying a cup of apple dessert for breakfast,75.47,high
I'm having 185 grams of flavored potato chips for a light brunch,101.84,high
I'm having a 190-gram apple turnover for a snack,82.74,high
I'm having a 222-gram pumpkin empanada as a snack,92.57,high
I'm having a 337g McDonald's Oreo McFlurry for a snack,88.0,high
I'm having a banana split for a snack,159.4,high
I'm having a breakfast of 65g cooked cassava paired with 134g roti,87.51,high
I'm snacking on 320 grams of candied apples,94.75,high
I'm snacking on a cup of peanut brittle,104.72,high
I'm starting my day with a cup of granola cereal,81.86,high
I've got a 153-gram hoagie roll and a 620-gram cola for lunch,140.91000000000005,high
"I've got a banana, a tangerine, and a large apple for lunch",76.74000000000001,high
Lunch today consists of a 126-gram banana and a 105-gram bagel,83.78,high
Lunch today consists of a banana and a bagel,83.78,high
"At lunch, I'm having a refreshing can of diet ginger ale",0.0,low
Dinner consisted of a slice of regular eggplant parmesan casserole,3.92,low
Dinner consists of a jar of strained green string beans baby food,4.47,low
"For breakfast, I cooked a 75-gram scrambled egg with meat and oil",0.59,low
"For dinner, I decided to have one chocolate-covered marshmallow",8.25,low
"For my morning meal, I have a cup of blueberries",21.74,low
Having a cup of mixed vegetable juice for a little snack,15.06,low
I had 244 grams of milk for breakfast,11.88,low
"I have 200 grams of cucumber, raw, for dinner",7.26,low
I have 4 grams of regular chewing gum for my snack,3.87,low
I have a 35g Nature Valley granola bar for a little snack,21.4,low
I have a 42-gram croissant as my snack,19.24,low
I prepared a packet of instant noodle soup for my lunch,7.84,low
I'll be eating a slice of Swiss cheese tonight,0.3,low
I'm enjoying 113 grams of flavored nonfat yogurt for my lunch,11.8,low
I'm going to enjoy a 32.8g pasta-based meal with veggies for lunch,0.54,low
I'm having 125 grams of coconut water as a snack,3.13,low
I'm having 43 grams of boiled rice for a snack,12.94,low
I'm having a 360g nonfat latte for a snack,15.66,low
I'm having a 360g sugar-free Red Bull energy drink for breakfast,2.52,low
I'm having a 57g hot dog as a snack,3.01,low
"I'm having a bottle of flavored, sugar-free Vitamin Water for a snack",0.0,low
I'm having a fun size package of gumdrops for a snack,17.8,low
"I'm having a light, chocolate-coated vanilla ice cream bar for a snack",14.36,low
I'm having a mint hard candy as a snack,5.0,low
I'm having a stick of reduced-fat American cheese for a snack,3.01,low
I'm just having a drained 6.5 oz can of tuna for dinner,0.13,low
Just grabbing a Capri Sun pouch of fruit juice for a snack,18.6,low
"Just having a sweetened macchiato coffee, about 62 grams, for my snack",4.28,low
Tonight's dinner includes 33 grams of bread made from wheat,16.25,low
"For breakfast, I had a plain cake doughnut and a Breakfast Tart",67.03,medium
"For lunch, I enjoyed a banana and a medium butter cookie",48.98,medium
Having a large sope with meat for breakfast today,45.53,medium
Having a margarita and a 12 fl oz beer for my snack,48.92,medium
Having one Nutri-Grain bar as a snack right now,25.02,medium
I decided on a raw pear to munch on as a snack,27.41,medium
I grabbed a 2.3 oz twin-pack of crumb coffee cake for lunch,33.3,medium
I had 170 grams of barley with fat for breakfast,46.29,medium
I have 190 grams of banana pudding for my snack,53.09,medium
I have a 128g piece of thin crust cheese pizza for lunch,40.08,medium
I have a 256g Boost Plus nutritional drink for lunch,44.26,medium
I have a 341g high protein nutritional drink for lunch,58.96,medium
I have a 593-gram serving of ready-to-serve barley soup for dinner,47.08,medium
"I have a chocolate muffin, and it's 130 grams, for my snack",65.82,medium
I have a cup of fried rice mixed with chicken for lunch,54.69,medium
I have a quesadilla and a cup of tap water for lunch,45.8,medium
I just had a scoop of light ice cream as a snack,30.53,medium
I just made myself a snack with 51 grams of popcorn,35.85,medium
I just opened a 2 oz package of Skittles for my snack,51.74,medium
I just opened a cup of canned fruit cocktail to snack on,30.4,medium
I just took a large cookie to enjoy as a snack,29.41,medium
I poured myself a snack of 248 grams of chocolate milk,33.38,medium
I'll be enjoying 140 grams of cooked pasta for dinner,42.95,medium
I'm having 137 grams of lemon meringue pie for a snack,64.66,medium
I'm having 144 grams of vanilla ice cream for a snack,33.98,medium
I'm having 88 grams of restaurant garlic bread with cheese for breakfast,30.1,medium
I'm having a 138g serving of jam for lunch,73.0,medium
I'm having a 2 oz chocolate-covered peanut bar for a snack,29.14,medium
I'm having a 225g daiquiri for a quick snack,35.19,medium
I'm having a 42g shortbread cookie with icing as a snack,26.29,medium
I'm having a 564.28g serving of Curry Papaya for a snack,38.120000000000005,medium
I'm having a 97-gram frozen pepperoni pizza on thin crust for lunch,26.69,medium
I'm having a custard-filled doughnut for a snack,34.29,medium
I'm having a granola bar for a snack,27.69,medium
I'm having a single Fiber One chewy bar as my lunch,27.93,medium
I'm planning to eat a cup of sesame chicken for dinner,67.74,medium
"I'm serving up some frozen reduced-fat pancakes for dinner, weighing 80 grams",28.87,medium
I'm treating myself to a frozen margarita right now,36.14,medium
Just grabbing 57 grams of ruffled potato chips for a snack,31.87,medium
Lunch today consisted of 60g of bananas and 190g of veggie puree,52.5,medium
